epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1221.27,0.34757,0.58855,0.93938,0.99775,1,0.995,0.99085,0.21233,0.58758,0.73878,0.000643795,0.000643795,0.000643795
64,1237.5,0.30624,0.57773,0.90056,0.99777,1,0.995,0.995,0.18632,0.619,0.72468,0.000627292,0.000627292,0.000627292
65,1253.92,0.35927,0.57627,0.92023,0.99777,1,0.995,0.995,0.18632,0.619,0.72468,0.000610789,0.000610789,0.000610789
66,1271.92,0.31341,0.53973,0.90842,0.99774,1,0.995,0.995,0.17837,0.68248,0.71976,0.000594286,0.000594286,0.000594286
67,1289.2,0.29427,0.54323,0.85632,0.99774,1,0.995,0.995,0.17837,0.68248,0.71976,0.000577782,0.000577782,0.000577782
68,1306.63,0.28061,0.54622,0.85073,0.99779,1,0.995,0.995,0.1875,0.70274,0.72521,0.000561279,0.000561279,0.000561279
69,1323.65,0.26212,0.5586,0.85469,0.99779,1,0.995,0.995,0.1875,0.70274,0.72521,0.000544776,0.000544776,0.000544776
70,1341.01,0.31176,0.61341,0.89946,0.99766,1,0.995,0.995,0.20269,0.62004,0.73443,0.000528272,0.000528272,0.000528272
71,1358.9,0.31273,0.52443,0.88439,0.99766,1,0.995,0.995,0.20269,0.62004,0.73443,0.000511769,0.000511769,0.000511769
72,1376.14,0.31804,0.51914,0.91369,0.99774,1,0.995,0.99085,0.2069,0.56259,0.73659,0.000495266,0.000495266,0.000495266
73,1392.93,0.29391,0.52668,0.89155,0.99774,1,0.995,0.99085,0.2069,0.56259,0.73659,0.000478762,0.000478762,0.000478762
74,1409.91,0.32375,0.55978,0.9299,0.99777,1,0.995,0.99085,0.19415,0.53139,0.73311,0.000462259,0.000462259,0.000462259
75,1426.98,0.31567,0.54532,0.88689,0.99777,1,0.995,0.99085,0.19415,0.53139,0.73311,0.000445756,0.000445756,0.000445756
76,1443.89,0.35403,0.60887,0.94355,0.99781,1,0.995,0.99085,0.18457,0.51671,0.72874,0.000429253,0.000429253,0.000429253
77,1461.22,0.3075,0.58027,0.91024,0.99781,1,0.995,0.99085,0.18457,0.51671,0.72874,0.000412749,0.000412749,0.000412749
78,1480.43,0.27762,0.52007,0.90332,0.99781,1,0.995,0.995,0.17123,0.50408,0.72489,0.000396246,0.000396246,0.000396246
79,1497.92,0.23354,0.4742,0.86254,0.99781,1,0.995,0.995,0.17123,0.50408,0.72489,0.000379743,0.000379743,0.000379743
80,1516.12,0.27889,0.49618,0.89236,0.99781,1,0.995,0.995,0.1615,0.49694,0.72074,0.000363239,0.000363239,0.000363239
81,1533.6,0.29301,0.49276,0.88564,0.99781,1,0.995,0.995,0.1615,0.49694,0.72074,0.000346736,0.000346736,0.000346736
82,1551.75,0.27639,0.48036,0.8689,0.99782,1,0.995,0.9898,0.16286,0.49616,0.72017,0.000330233,0.000330233,0.000330233
83,1569.59,0.26216,0.49019,0.86483,0.99782,1,0.995,0.9898,0.16286,0.49616,0.72017,0.000313729,0.000313729,0.000313729
84,1586.78,0.27316,0.48822,0.84425,0.99781,1,0.995,0.99034,0.1635,0.50484,0.71887,0.000297226,0.000297226,0.000297226
85,1604.52,0.25404,0.48747,0.841,0.99781,1,0.995,0.99034,0.1635,0.50484,0.71887,0.000280723,0.000280723,0.000280723
86,1621.84,0.27546,0.48946,0.89428,0.99782,1,0.995,0.9898,0.15694,0.49964,0.71595,0.00026422,0.00026422,0.00026422
87,1639.2,0.27554,0.49112,0.9003,0.99782,1,0.995,0.9898,0.15694,0.49964,0.71595,0.000247716,0.000247716,0.000247716
88,1657.64,0.25989,0.50109,0.84723,0.99782,1,0.995,0.995,0.14591,0.49133,0.7137,0.000231213,0.000231213,0.000231213
